words,label
dia gemuk,indonesia
berkata guru anak-anak jangan takut,indonesia
saya bolos sekolah,indonesia
"dilihat komariyah ayahnya , pak sulaiman keluar dari kelas cepat didekatinya",indonesia
sepertinya masih lama,indonesia
kanikan sai nyihatko sina tantu wat kandungan zat-zat sai dipeghluko badan jama mak ngedok kuman penyakikni,lampung
tanggal pira pusikam laher ?,lampung
apakah dekat dengan pasar ?,indonesia
pak tono lagi berjabat tangan dengan tamunya,indonesia
berapa lama anda sudah merasakan hal ini ?,indonesia
ini surat nya sahabatku rahman,indonesia
ya belajagh bahasa lampung,lampung
api niku wat kesulitan sampai dija ?,lampung
dan gadis bujang yang memakai baju adat lampung diiringi musik tradisional ramai berbaris rapi,indonesia
sapa sai neghima rapor anjak guru kelas ?,lampung
namanya arman,indonesia
nilainya bagus,indonesia
ija neram mik memidoghan,lampung
semuanya ialah kata ganti orang yang dipakai dalam bahasa anak-anak yang bukan ialah tuan,indonesia
adik ngusung buku,lampung
kami mendengarkan kisah lucu tertawa terpingkal-pingkal,indonesia
apakah anda punya nomor ktp ?,indonesia
pira rega na ?,lampung
sikam mak ngereti api gawoh,lampung
di hutan itu ada harimau,indonesia
cawa siti jama ghikni ratna,lampung
anda tinggal dimana ?	,indonesia
nerima kasih nyak kak numpang niku,lampung
makwat nyak helau-helau gawoh,lampung
apakah ini yang pertama ?,indonesia
dari mana tuan ?,indonesia
dimana tempat wudlunya ?,indonesia
pak hasan menebang pohon itu dengan parang,indonesia
bapak sering menjaring di kolam,indonesia
api niku galak galigata ?,lampung
apakah buka di hari biasa ?,indonesia
nilaini cukup,lampung
ayah ngebaca koghan,lampung
lebih lebih kippak wat acagha sepak bal di tivi,lampung
unyin sina ngeghupako anugerah alloh swt,lampung
"ghang laya di komplek gham , kapan haga diaspal ?",lampung
begitu juga ibu kita alangkah beratnya pekerjaan beliau,indonesia
pak sanusi gughu kelas pak,lampung
nyak dimkayun keluar kota jemoh,lampung
bulan api pusikam laher ?,lampung
mereka berangkat sekolah bersama,indonesia
"bu ani ngulih mengiyan ni , ulah api puskam mak mengan ?",lampung
ghepa si helau keadaan ayahmu ?,lampung
buka balak ni minggu hadap,lampung
mak jawoh ga,lampung
tidak begitu jauh,indonesia
saya minta sedikit kecap,indonesia
"pak guru berkata dengan semua murid , kalian harus belajar supaya naik kelas !",indonesia
yang senang di waktu panen ialah para petani,indonesia
abah macul di sabah,lampung
ia rebah,lampung
yang tidak libur di hari libur ialah penjaga sekolah,indonesia
"astaga , dia tidak naik kelas !",indonesia
rumah seperti apa yang anda mau ?	,indonesia
lambanni sepaghokan jama lambanku,lampung
dia punya mobil truk puso dua,indonesia
saya tidak mudik tahun ini,indonesia
api niku lagi siwok ?,lampung
holon sai cakak haji kendaraanni yalah pesawat udara,lampung
saya mau mengirim uang ke nomor rekening ini,indonesia
panitia ghuwah nikah nyambuk sabai,lampung
inak lagi nguyahi iwa sai haga digughing,lampung
itu yang menjadi kebahagian pak andi sekeluarga,indonesia
rega jawini cakak tahun ji,lampung
lagu anak-anak berisi hal-hal yang ada kaitannya dengan anak-anak,indonesia
apak nanom paghi di sabah,lampung
"di saat raden intan mandi , semua pusaka nya ada yang mengambil , pelaku nya ialah raden kepaghat",indonesia
ya mak haga belajar sama sekali api lagi ngaji,lampung
zat-zat yang diperlukan badan nama nya gizi,indonesia
semua yang menggunakan jalan raya musti patuh sama aturan lalu lintas,indonesia
saya akan keluar kota besok,indonesia
mari kita ke sekolah cepat-cepat supaya tidak telat !,indonesia
"badri , saya pulang dulu ya",indonesia
di era reformasi kita sebaiknya bekerja lebih giat !,indonesia
nyak haga ngebeli sai baru,lampung
mawar melati semuanya indah,indonesia
sebenarnya ucap bapak memulai ceritanya,indonesia
saya simpan di sini,indonesia
sana dengan sarmin dari kalian pertemukan,indonesia
adik menangis kedengaran dari rumah sebelah,indonesia
upacara adat cacak pepadun dilaksanakan tiga hari lagi,indonesia
bawakna halom,lampung
api niku wat sai bahyu ?,lampung
